bookingpress_setting_id,bookingpress_created_at,bookingpress_setting_name,bookingpress_setting_type,bookingpress_setting_value
1,2022-06-23 19:00:20,is_edit_service,booking_form,false
2,2022-06-23 19:00:20,is_edit_date_time,booking_form,false
3,2022-06-23 19:00:20,is_edit_basic_details,booking_form,false
4,2022-06-23 19:00:21,is_edit_summary,booking_form,false
5,2022-06-23 19:00:21,service_title,booking_form,Service
6,2022-06-23 19:00:21,datetime_title,booking_form,Date & Time
7,2022-06-23 19:00:21,basic_details_title,booking_form,Basic Details
8,2022-06-23 19:00:21,summary_title,booking_form,Summary
9,2022-06-23 19:00:21,editCategoryTitlePopup,booking_form,false
10,2022-06-23 19:00:21,is_edit_category_title,booking_form,false
11,2022-06-23 19:00:21,category_title,booking_form,Select Category
12,2022-06-23 19:00:21,editServiceTitlePopup,booking_form,false
13,2022-06-23 19:00:21,is_edit_service_title,booking_form,false
14,2022-06-23 19:00:22,service_heading_title,booking_form,Select Service
15,2022-06-23 19:00:22,default_image_url,booking_form,http://metapress.htb/wp-content/plugins/bookingpress-appointment-booking/images/placeholder-img.jpg
16,2022-06-23 19:00:22,is_edit_timeslot,booking_form,false
17,2022-06-23 19:00:22,timeslot_text,booking_form,Time Slot
18,2022-06-23 19:00:22,is_edit_morning,booking_form,false
19,2022-06-23 19:00:22,morning_text,booking_form,Morning
20,2022-06-23 19:00:22,is_edit_afternoon,booking_form,false
21,2022-06-23 19:00:22,afternoon_text,booking_form,Afternoon
22,2022-06-23 19:00:22,is_edit_evening,booking_form,false
23,2022-06-23 19:00:22,evening_text,booking_form,Evening
24,2022-06-23 19:00:22,is_edit_night,booking_form,false
25,2022-06-23 19:00:23,night_text,booking_form,Night
26,2022-06-23 19:00:23,is_edit_summary_content,booking_form,false
27,2022-06-23 19:00:23,summary_content_text,booking_form,Your appointment booking summary
28,2022-06-23 19:00:23,is_edit_select_payment_method,booking_form,false
29,2022-06-23 19:00:23,payment_method_text,booking_form,Select Payment Method
30,2022-06-23 19:00:23,background_color,booking_form,#fff
31,2022-06-23 19:00:23,footer_background_color,booking_form,#f4f7fb
32,2022-06-23 19:00:23,primary_color,booking_form,#12D488
33,2022-06-23 19:00:23,primary_background_color,booking_form,#e2faf1
34,2022-06-23 19:00:23,label_title_color,booking_form,#202C45
35,2022-06-23 19:00:23,content_color,booking_form,#535D71
36,2022-06-23 19:00:23,custom_css,booking_form,<blank>
37,2022-06-23 19:00:23,title_font_size,booking_form,16
38,2022-06-23 19:00:23,title_font_family,booking_form,Poppins
39,2022-06-23 19:00:23,content_font_size,booking_form,16
40,2022-06-23 19:00:23,content_font_family,booking_form,Poppins
41,2022-06-23 19:00:23,hide_category_service_selection,booking_form,false
42,2022-06-23 19:00:24,booking_form_tabs_position,booking_form,left
43,2022-06-23 19:00:24,hide_next_previous_button,booking_form,false
44,2022-06-23 19:00:24,hide_already_booked_slot,booking_form,false
45,2022-06-23 19:00:24,display_service_description,booking_form,false
46,2022-06-23 19:00:24,goback_button_text,booking_form,Go Back
47,2022-06-23 19:00:24,next_button_text,booking_form,Next
48,2022-06-23 19:00:24,book_appointment_btn_text,booking_form,Book Appointment
49,2022-06-23 19:00:24,default_date_format,booking_form,"F j, Y"
50,2022-06-23 19:00:24,background_color,booking_my_booking,#fff
51,2022-06-23 19:00:24,row_background_color,booking_my_booking,#f4f7fb
52,2022-06-23 19:00:24,label_title_color,booking_my_booking,#727E95
53,2022-06-23 19:00:24,content_color,booking_my_booking,#727e95
54,2022-06-23 19:00:24,custom_css,booking_my_booking,<blank>
55,2022-06-23 19:00:24,title_font_size,booking_my_booking,14
56,2022-06-23 19:00:24,title_font_family,booking_my_booking,Poppins
57,2022-06-23 19:00:25,content_font_size,booking_my_booking,14
58,2022-06-23 19:00:25,content_font_family,booking_my_booking,Poppins
59,2022-06-23 19:00:25,is_edit_mybooking_title,booking_my_booking,false
60,2022-06-23 19:00:25,mybooking_title_text,booking_my_booking,My Bookings
61,2022-06-23 19:00:25,hide_customer_details,booking_my_booking,false
62,2022-06-23 19:00:25,hide_search_bar,booking_my_booking,false
63,2022-06-23 19:00:25,allow_to_cancel_appointment,booking_my_booking,1
64,2022-06-23 19:00:25,Default_date_formate,booking_my_booking,"F j, Y"
65,2022-06-23 19:00:25,bookingpress_date_format_1,booking_my_booking,"Thursday, October 25, 2021"
66,2022-06-23 19:00:25,bookingpress_date_format_2,booking_my_booking,"October 26, 2021"
67,2022-06-23 19:00:26,bookingpress_date_format_3,booking_my_booking,"Friday, October 25, 2021"
68,2022-06-23 19:00:26,bookingpress_date_format_4,booking_my_booking,"October 26, 2021"

